License Number,Facility Name,DBA,Facility Type,Street,City,State,Zip Code,Date Updated,Latitude,Longitude
404-00070,COLORADO CANNABIS COMPANY LLC,Pure Marijuana Dispensary,Medical Marijuana Products Mfg,505 West 40th Avenue,Denver,CO,80216,2024-09-03,39.771809,-104.9938517
404-00415,COLORADO DISTRIBUTING INC,Apex Extracts,Medical Marijuana Products Mfg,893 East Enterprise Drive,Pueblo West,CO,81007,2024-09-03,38.3260135,-104.705327
404-00383,COLORADO MEDICAL PROCESSING LLC,Colorado's Best Dabs,Medical Marijuana Products Mfg,"5475 North Peoria Street, Unit 4-111 & 4-112",Denver,CO,80239,2024-09-03,39.796292,-104.847165
404-00897,COMMISSARY COLLECTIVE INC,,Medical Marijuana Products Mfg,4809 Colorado Boulevard,Denver,CO,80216,2024-09-03,39.7839856,-104.9406663
404-00601,CONSCIOUS CONFECTIONS II LLC,Native Roots Extracts,Medical Marijuana Products Mfg,4990 North Dahlia Street,Denver,CO,80216,2024-09-03,39.786904,-104.93154
404-00172,CONSCIOUS CONFECTIONS LLC,Native Roots Extracts,Medical Marijuana Products Mfg,680 North Lipan Street,Denver,CO,80204,2024-09-03,39.727037,-105.001526
404-00593,CONSCIOUSLY CRAFTED LLC,DabLogic,Medical Marijuana Products Mfg,"5000 East 41st Avenue, Unit 100",Denver,CO,80216,2024-09-03,39.7736341,-104.9294624
404-00602,D AND C MEDICAL MARIJUANA LLC,Golden Leaf,Medical Marijuana Products Mfg,1755 Lincoln Avenue,Steamboat Springs,CO,80487,2024-09-03,40.4968351,-106.8534268
404-00479,DARK HORSE GENETICS LLC,,Medical Marijuana Products Mfg,2145 South Kalamath Street,Denver,CO,80223,2024-09-03,39.6776722,-105.0007286
404-00069,DENCO LLC,,Medical Marijuana Products Mfg,922 East Kimble Drive,Pueblo West,CO,81007,2024-09-03,38.323527,-104.703985
404-00362,DENVER PACKAGING COMPANY,,Medical Marijuana Products Mfg,5100 North Cook Street,Denver,CO,80216,2024-09-03,39.775669,-104.947523
404-00218,DKC LLC,Kush concentrates,Medical Marijuana Products Mfg,"4960 North Jackson Street, Building 2",Denver,CO,80216,2024-09-03,39.794409,-104.942866
404-00780,DUTCH BOTANICALS LLC,,Medical Marijuana Products Mfg,"17600 East Exposition Drive, Unit C-2",Aurora,CO,80017,2024-09-03,39.7039672,-104.7828795
404-00729,EGOZI VENTURES LLC,,Medical Marijuana Products Mfg,2160 South Lipan Street,Denver,CO,80223,2024-09-03,39.6774261,-105.0016697
404-00673,EJB VENTURES LLC,Harmony Extracts,Medical Marijuana Products Mfg,4500 North Jason Street,Denver,CO,80211,2024-09-03,39.778343,-104.999356
404-00525,EJB VENTURES LLC,Harmony Extracts,Medical Marijuana Products Mfg,121 North Mariposa Street,Denver,CO,80223,2024-09-03,39.695499,-105.002699
404-00425,FOCUSED LABS LLC,,Medical Marijuana Products Mfg,"3795 North Paris Street, Unit D",Denver,CO,80239,2024-09-03,39.769585,-104.848522
404-00518,GARDEN OF THE BUDZ LLC,GOB Extracts,Medical Marijuana Products Mfg,"3002 Gunnison Street, Unit B",Colorado Springs,CO,80909,2024-09-03,38.837363,-104.7730585
404-00192,GAS AND GRASS LLC,Rollup,Medical Marijuana Products Mfg,"62 Mount View Lane, Units D & E",Colorado Springs,CO,80907,2024-09-03,38.889675,-104.820596
404-00636,GATSBY HOLDINGS LLC,Billo,Medical Marijuana Products Mfg,"1707 Copper Ridge Spur, Unit A",Steamboat Springs,CO,80487,2024-09-03,40.5125896,-106.852639
404-00894,GHT FARMS LLC,GHT LLC,Medical Marijuana Products Mfg,"13800 East Moncrieff Place, Unit A,",Aurora,CO,80011,2024-09-03,39.7655611,-104.8262752
404-00049,GL INDUSTRIAL,WAX POETIC,Medical Marijuana Products Mfg,115 East Garden of the Gods Road,Colorado Springs,CO,80907,2024-09-03,38.8970132,-104.8234938
404-00676,GOOD LIFE COLORADO LLC,,Medical Marijuana Products Mfg,"5475 Peoria Street, Unit 4-110",Denver,CO,80239,2024-09-03,39.7950754,-104.8476993
404-00001,GREEN CROSS COLORADO LLC,,Medical Marijuana Products Mfg,660 North Bryant Street,Denver,CO,80204,2024-09-03,39.72585,-105.018602
404-00663,GREEN STREET LLC,,Medical Marijuana Products Mfg,20319 Tamarack Lane,Ordway,CO,81063,2024-09-03,38.061467,-102.928414
404-00574,GREEN TOWER ENTERPRISES INC,Stone Street Canna,Medical Marijuana Products Mfg,3110 North Stone Avenue,Colorado Springs,CO,80907,2024-09-03,38.877916,-104.816097
404-00626,GT INFUSIONS LLC,Green Treets,Medical Marijuana Products Mfg,"6859 North Foothills Highway, Unit E-200",Boulder,CO,80302,2024-09-03,40.0983218,-105.2821961
404-00658,GUARANTEED GREEN LTD,Olio,Medical Marijuana Products Mfg,462 Laredo Street Unit C,Aurora,CO,80011,2024-09-03,39.7233244,-104.8000558
404-00458,GUARANTEED GREEN LTD,Olio,Medical Marijuana Products Mfg,"4800 North Oakland Street, Unit 3",Denver,CO,80239,2024-09-03,39.78622,-104.850667
404-00048,HARVEST OF COLORADO LLC,,Medical Marijuana Products Mfg,"5231 North Monroe Street, Unit 100",Denver,CO,80216,2024-09-03,39.775704,-104.945285
404-00467,HIGH ALTITUDE EXTRACTS LLC,,Medical Marijuana Products Mfg,707 North Union Boulevard,Colorado Springs,CO,80909,2024-09-03,38.8428856,-104.79393
404-00517,HIGH COUNTRY INFUSIONS LLC,High Country Infusions,Medical Marijuana Products Mfg,1785 North Academy Boulevard  Suite 180,Colorado Springs,CO,80909,2024-09-03,38.8588931,-104.7568094
404-00476,HWMF LLC,Rockin Extracts,Medical Marijuana Products Mfg,"77 North Laser Drive, Suite D",Pueblo West,CO,81007,2024-09-03,38.331276,-104.710791
404-00420,IGADI LTD,IgadI,Medical Marijuana Products Mfg,"72399 US Highway 40, Unit D",Tabernash,CO,80478,2024-09-03,39.9967151,-105.88714
404-00879,INDICO COLORADO INC,,Medical Marijuana Products Mfg,20637 Highway 96,Sugar City,CO,81076,2024-09-03,38.228508,-103.692436
404-00442,INFINITE INFUSIONS LLC,Infinite Infusions,Medical Marijuana Products Mfg,412 South McCulloch Boulevard Units F & G,Pueblo West,CO,81007,2024-09-03,38.343046,-104.720264
404-00329,INFUZIONZ LLC,NectarBee,Medical Marijuana Products Mfg,4410 North Washington Street,Denver,CO,80216,2024-09-03,39.777269,-104.979085
404-00609,ISM2 INC,Green Dot Labs,Medical Marijuana Products Mfg,"7077 Winchester Circle, Units C and D",Boulder,CO,80301,2024-09-03,40.079111,-105.18887
404-00516,J&P INVESTMENTS LLC,Newt Brothers Artisanal,Medical Marijuana Products Mfg,3850 East 48th Avenue,Denver,CO,80216,2024-09-03,39.7836948,-104.9423328
404-00573,JCSC LLC,Cold Cure Labs,Medical Marijuana Products Mfg,"4237 North Josephine Street, Units 102 & 103",Denver,CO,80216,2024-09-03,39.775962,-104.95832
404-00170,JET BLACK ENTERPRISES LLC,Leiffa,Medical Marijuana Products Mfg,12022 East 38th Avenue,Denver,CO,80239,2024-09-03,39.7695487,-104.8482368
404-00436,JKC MANUFACTURING LLC,Stratos,Medical Marijuana Products Mfg,73 North Research Drive,Pueblo West,CO,81007,2024-09-03,38.337742,-104.733501
404-00656,JP LABS II LLC,Robhots Edibles,Medical Marijuana Products Mfg,"37 North Silicon Drive, Unit A",Pueblo West,CO,81007,2024-09-03,38.330306,-104.716139
404-00568,JVT ENTERPRISES INC,SPACE LAB,Medical Marijuana Products Mfg,1075 South Jason Street,Denver,CO,80223,2024-09-03,39.697252,-104.999271
404-00815,K&P ENTERPRISE LLC,Atomic Concentrates,Medical Marijuana Products Mfg,3601 Freedom Road,Trinidad,CO,81082,2024-09-03,37.1888012,-104.4975284
404-00664,KIND GOODS LLC,Rebel Edibles,Medical Marijuana Products Mfg,462 Laredo Street Suite F,Aurora,CO,80011,2024-09-03,39.7233244,-104.8000558
404-00559,KIND LOVE LLC,,Medical Marijuana Products Mfg,4890 North Joliet Street,Denver,CO,80239,2024-09-03,39.786402,-104.861266
404-00461,KP LLC,Binske,Medical Marijuana Products Mfg,209 Nancy Crawford Boulevard,Oak Creek,CO,80467,2024-09-03,40.2750258,-106.9604777
404-00668,KUNUBU COLORADO LLC,Kunubu,Medical Marijuana Products Mfg,499 Enterprise Street Unit B,Hayden,CO,81639,2024-09-03,40.489318,-107.246861
404-00343,KUSH MASTERS LLC,Kush Masters,Medical Marijuana Products Mfg,6325 West 48th Avenue,Wheat Ridge,CO,80033,2024-09-03,39.7839749,-105.065333
404-00817,LA VIDA DULCE,,Medical Marijuana Products Mfg,4805 North Kingston Street Suite 106,Denver,CO,80239,2024-09-03,39.786047,-104.859095
404-00542,LBW CONSULTING GROUP LLC,Seed & Smith,Medical Marijuana Products Mfg,5070 North Oakland Street,Denver,CO,80239,2024-09-03,39.78977,-104.850593
404-00356,LIVWELL XIII LLC,LivWell,Medical Marijuana Products Mfg,3770 North Joliet Street ,Denver,CO,80239,2024-09-03,39.769776,-104.861026
404-00485,LOUD LABS LLC,Pyramid,Medical Marijuana Products Mfg,4805 Van Gordon Street,Wheat Ridge,CO,80033,2024-09-03,39.7840122,-105.1356073
404-00608,LUMINESCENCE LABS INC,Denver Dab Company,Medical Marijuana Products Mfg,35715 US Highway 40 Unit D305 & D306,Evergreen,CO,80439,2024-09-03,39.654969,-105.297135
404-00651,MAMMOTH MANUFACTURING LLC,Goldwater Extracts,Medical Marijuana Products Mfg,845 North Navajo Street,Denver,CO,80204,2024-09-03,39.730513,-105.004089
404-00624,MAMMOTH MANUFACTURING LLC,Goldwater Extracts,Medical Marijuana Products Mfg,50562 County Road U,Saguache,CO,81149,2024-09-03,38.01478,-106.099027
404-00234,MARYS MEDICINALS LLC,Mary's Medicinals,Medical Marijuana Products Mfg,4990 North Oakland Street Unit 100,Denver,CO,80239,2024-09-03,39.788185,-104.850589
404-00666,MBF LABS LLC,My brothers flower,Medical Marijuana Products Mfg,42 North Fabrication Drive Suite 101,Pueblo West,CO,81007,2024-09-03,38.334854,-104.732129
404-00670,MCCANBIZ LLC,Humble Farms,Medical Marijuana Products Mfg,8552 Maverick Lane,Ordway,CO,81063,2024-09-03,38.388905,-104.676225
404-00057,MEDICALLY CORRECT LLC,incredibles,Medical Marijuana Products Mfg,1308 South Jason Street,Denver,CO,80223,2024-09-03,39.6928677,-104.9990785
404-00539,MEDPHARM HOLDINGS LLC,,Medical Marijuana Products Mfg,3855 North Quentin Street,Denver,CO,80239,2024-09-03,39.76989,-104.84483
404-00547,MEDPHARM HOLDINGS LLC,,Medical Marijuana Products Mfg,3855 North Quentin Street,Denver,CO,80239,2024-09-03,39.76989,-104.84483
404-00514,MILE HIGH CAKE POPS LLC,Terp Chefs,Medical Marijuana Products Mfg,4405 Mark Dabling Boulevard,Colorado Springs,CO,80907,2024-09-03,38.8922807,-104.8255442
404-00632,MILE HIGH REMEDIES LLC,Doctors Orders,Medical Marijuana Products Mfg,2805 North Prospect Street,Colorado Springs,CO,80909,2024-09-03,38.8699707,-104.8107679
404-00405,MODERN MEDICINE LLC,Colorado Extract Company,Medical Marijuana Products Mfg,2903 North Prospect Street,Colorado Springs,CO,80907,2024-09-03,38.8723174,-104.8106241
404-00660,MONTEM PHARMLABS LIMITED,Northern Standard,Medical Marijuana Products Mfg,272 North Main Street,Alma,CO,80420,2024-09-03,39.2867023,-106.0643296
404-00567,MONTEM PHARMLABS LIMITED,Northern Standard,Medical Marijuana Products Mfg,513 North Main Street,Alma,CO,80420,2024-09-03,39.2886359,-106.0660805
404-00106,MOUNTAIN HIGH PRODUCTS LLC,Wana,Medical Marijuana Products Mfg,"7161 Valtec Court, Units A, D & E",Boulder,CO,80301,2024-09-03,40.01595,-105.186479
404-00102,MOUNTAIN HIGH SUCKERS LLC,Mountain High Suckers,Medical Marijuana Products Mfg,"400 South Lipan Street, Unit 11",Denver,CO,80223,2024-09-03,39.710119,-105.001408
404-00544,MS LAFAYETTE LLC,Glacier Concentrates,Medical Marijuana Products Mfg,"4140 North York Street, Suite 220",Denver,CO,80216,2024-09-03,39.775137,-104.959336
404-00868,MS LAFAYETTE LLC,Meraki Brands,Medical Marijuana Products Mfg,1224 Commerce Court Suite 1,Lafayette,CO,80026,2024-09-03,39.9797667,-105.072429
404-00784,MSC EXTRACTS LLC,Mountain Select,Medical Marijuana Products Mfg,472 Laredo Street Unit K,Aurora,CO,80011,2024-09-03,39.7233443,-104.7994953
404-00685,NATIONAL GREEN SOURCE LLC,The Green Source,Medical Marijuana Products Mfg,1900 South Freeway,Pueblo,CO,81004,2024-09-03,38.234103,-104.6120899
404-00468,NATTY REMS LLC,Natty Rems,Medical Marijuana Products Mfg,4675 North Kingston Street,Denver,CO,80239,2024-09-03,39.781946,-104.859085
404-00487,NATURE MED INC,LePow Extracts,Medical Marijuana Products Mfg,"745 North Federal Boulevard, Unit 100,",Denver,CO,80204,2024-09-03,39.72831,-105.025212
404-00566,NATURE MED INC,,Medical Marijuana Products Mfg,"35715 US Highway 40, Units D301 and D302",Evergreen,CO,80439,2024-09-03,39.654969,-105.297135
404-00339,NATURES KITCHEN LLC,,Medical Marijuana Products Mfg,540 27th Street,Garden City,CO,80631,2024-09-03,40.3944806,-104.6866871
404-00561,NEXT1 LABS LLC,Next1 Labs,Medical Marijuana Products Mfg,"9670 Dallas Street, Units 3 & 4",Henderson,CO,80640,2024-09-03,39.877279,-104.876203
404-00639,NOMADIC LLC ,"Royal Jelly, Lazercat",Medical Marijuana Products Mfg,8620 Colorado 103,Idaho Springs,CO,80452,2024-09-03,39.7410877,-105.5197832
404-00634,NORTHWEST CONFECTIONS COLORADO LLC ,WYLD,Medical Marijuana Products Mfg,2670 South Delaware Street,Denver,CO,80223,2024-09-03,39.6682487,-104.9921827
404-00456,NUHI LLC,Doobz,Medical Marijuana Products Mfg,4929 North Ironton Street,Denver,CO,80239,2024-09-03,39.787398,-104.863222
404-00455,NUVUE PHARMA LLC,,Medical Marijuana Products Mfg,4740 Dillon Drive,Pueblo,CO,81008,2024-09-03,38.317696,-104.6118152
404-00689,OIL WELL INDUSTRIES LLC,The Oil Well,Medical Marijuana Products Mfg,43 North Silicon Drive,Pueblo West,CO,81007,2024-09-03,38.330707,-104.716159
404-00543,PALISADE APOTHECARY LTD,,Medical Marijuana Products Mfg,"125 Peach Avenue, Unit A",Palisade,CO,81526,2024-09-03,39.1115096,-108.3529536
404-00902,PBS HOLDCO LLC,PURPLEBEE'S,Medical Marijuana Products Mfg,30899 U.S. Highway 50 East,Pueblo,CO,81006,2024-09-03,38.275014,-104.49607
404-00477,PG GROW II LLC,12 Peaks Farms,Medical Marijuana Products Mfg,7800 County Road 152,Salida,CO,81201,2024-09-03,38.552888,-106.021715
404-00659,PLATINUM FOODS LLC,TasteBudz,Medical Marijuana Products Mfg,711 West 8th Street,Pueblo,CO,81003,2024-09-03,38.2743502,-104.6164524
404-00571,PND LLC,A Cut Above,Medical Marijuana Products Mfg,3375 Fillmore Ridge Heights,Colorado Springs,CO,80907,2024-09-03,38.8801038,-104.8409831
404-00433,PNW LLC,AO Extracts,Medical Marijuana Products Mfg,701 West Mississippi Avenue,Denver,CO,80223,2024-09-03,39.696758,-104.995777
404-00597,PO TECH-CO LLC,,Medical Marijuana Products Mfg,5724 South College Avenue,Fort Collins,CO,80525,2024-09-03,40.5080946,-105.0772071
404-00622,QCI LABS LLC,QCi Labs,Medical Marijuana Products Mfg,"5303 Vasquez Boulevard, Unit 102",Commerce City,CO,80022,2024-09-03,39.7932969,-104.9395942
404-00095,R & B CONSULTING INC,Iion Cannabis,Medical Marijuana Products Mfg,"4727 North Broadway, Unit H",Boulder,CO,80304,2024-09-03,40.040917,-105.282079
404-00520,RD INDUSTRIES LLC,,Medical Marijuana Products Mfg,10555 East 45th Avenue,Denver,CO,80239,2024-09-03,39.7792721,-104.8645601
404-00446,RM CONCEPTS LLC,Tabernash Cannabis,Medical Marijuana Products Mfg,462 Laredo Street Unit G,Aurora,CO,80011,2024-09-03,39.7233244,-104.8000558
404-00058,RMZ LLC,,Medical Marijuana Products Mfg,4875 East 41st Avenue,Denver,CO,80216,2024-09-03,39.7748548,-104.9306641
404-00197,ROCKY MOUNTAIN DISTRIBUTORS LLC,,Medical Marijuana Products Mfg,1135 South Jason Street,Denver,CO,80223,2024-09-03,39.6960302,-104.9992597
404-00509,RUBII LLC,,Medical Marijuana Products Mfg,6859 North Foothills Highway Unit C-400,Boulder,CO,80302,2024-09-03,40.0983218,-105.2821961
404-00359,SL Cherokee LLC,,Medical Marijuana Products Mfg,1155 South Cherokee Street,Denver,CO,80223,2024-09-03,39.6955768,-104.9915764
404-00173,SLANG COLORADO MANUFACTURING INC,,Medical Marijuana Products Mfg,2121 South Jason Street,Denver,CO,80223,2024-09-03,39.6780525,-104.999567
404-00675,SMITH ROAD LLC,Inferno Natural Gas,Medical Marijuana Products Mfg,"5200 East Smith Road, Unit 100",Denver,CO,80216,2024-09-03,39.775054,-104.925976
404-00900,SMTG HOLDINGS LLC ,,Medical Marijuana Products Mfg,3375 South Interstate 25 ,Pueblo,CO,81004,2024-09-03,38.069344,-104.711251
404-00492,SOFA KING MEDICINAL WELLNESS PRODUCTS LLC,SKM,Medical Marijuana Products Mfg,1181 County Road 308,Dumont,CO,80436,2024-09-03,39.7643407,-105.5972387
404-00652,SOUTH PLATTE DISTRIBUTORS LLC,,Medical Marijuana Products Mfg,712 Mayor Patricia Reigel Boulevard,Moffat,CO,81143,2024-09-03,38.065284,-105.817955
404-00680,SPHEREX LLC,,Medical Marijuana Products Mfg,16506 East 2nd Avenue,Aurora,CO,80011,2024-09-03,39.7196956,-104.8193177
404-00511,SR COLORADO LLC,Shift Refinery,Medical Marijuana Products Mfg,"9690 Dallas Street, Units I & J",Henderson,CO,80640,2024-09-03,39.878139,-104.87606
404-00108,SR HOLDING COMPANY LLC,,Medical Marijuana Products Mfg,4502 North Washington Street,Denver,CO,80216,2024-09-03,39.778351,-104.979319
404-00499,STARBUDS MIPS LLC,,Medical Marijuana Products Mfg,"9670 Dallas Street, Units 5 & 6",Henderson,CO,80640,2024-09-03,39.877279,-104.876203
404-00489,STAYCON LLC,Craft,Medical Marijuana Products Mfg,869 East Industrial Boulevard,Pueblo West,CO,81007,2024-09-03,38.3241609,-104.6886055
404-00653,SUNSHINE EXTRACTS LLC,Sunshine,Medical Marijuana Products Mfg,7183 Arapahoe Road Unit A,Boulder,CO,80303,2024-09-03,40.0148418,-105.1865304
404-00189,SUSTAINABLE HEALTH LLC,14er Gardens,Medical Marijuana Products Mfg,1840 Commerce Street Unit F,Boulder,CO,80301,2024-09-03,40.0186072,-105.231459
404-00488,TEN SIX LLC,Ten Six Labs,Medical Marijuana Products Mfg,2560 Carmel Drive,Colorado Springs,CO,80910,2024-09-03,38.7958284,-104.7759169
404-00345,TERPMAN & ROSIN LLC,Terpman & Rosin Extracts,Medical Marijuana Products Mfg,3117 South Academy Boulevard,Colorado Springs,CO,80916,2024-09-03,38.7868631,-104.7548861
404-00887,THE CANNABIS PIONEERS LLC,,Medical Marijuana Products Mfg,12001 East 33rd Avenue Unit J ,Aurora,CO,80010,2024-09-03,39.7647608,-104.8483447
404-00671,THE EPIC REMEDY LLC,The ER,Medical Marijuana Products Mfg,2565 Weston Road,Colorado Springs,CO,80910,2024-09-03,38.79543,-104.777712
404-00335,THE EPIC REMEDY LLC,The Refinery,Medical Marijuana Products Mfg,3995 North Academy Boulevard,Colorado Springs,CO,80917,2024-09-03,38.8899711,-104.7564696
404-00350,THE GIVING TREE OF DENVER LLC,,Medical Marijuana Products Mfg,1255 South Huron Street,Denver,CO,80223,2024-09-03,39.6938869,-104.9969375
404-00662,THE GREEN BUILDING LLC,,Medical Marijuana Products Mfg,1397 South Cherokee Street,Denver,CO,80223,2024-09-03,39.6909618,-104.9909149
404-00508,THE HEALING CANNA LLC,Terp Labs,Medical Marijuana Products Mfg,3330 South Drennan Industrial Loop,Colorado Springs,CO,80910,2024-09-03,38.7878898,-104.7666395
404-00374,THE ORGANIC SEED LLC,DabTek,Medical Marijuana Products Mfg,41 North Precision Drive,Pueblo West,CO,81007,2024-09-03,38.333847,-104.727828
404-00050,THIRD DAY APOTHECARY MC LLC,,Medical Marijuana Products Mfg,"4865 North Academy Boulevard, Unit B",Colorado Springs,CO,80918,2024-09-03,38.9023516,-104.7691219
404-00631,THOMASH LLC,Alchemy Food Co,Medical Marijuana Products Mfg,9782 East Girard Avenue,Denver,CO,80231,2024-09-03,39.6544038,-104.8742349
404-00694,TKN INDUSTRIES LLC,The Trichome Collective,Medical Marijuana Products Mfg,35715 Highway 40 Suite D105,Evergreen,CO,80439,2024-09-03,39.741408,-105.431886
404-00627,TRAGAR INC,Javelina,Medical Marijuana Products Mfg,4827 North Interstate 25,Pueblo,CO,81008,2024-09-03,38.3380009,-104.6201045
404-00898,TRAIL SNAX LLC,Trail Snax,Medical Marijuana Products Mfg,315 East First Sreet,Parachute,CO,81635,2024-09-03,39.449733,-108.054832
404-00099,TRICHOME HEALTH CONSULTANTS INC,Trichome Health Consultants,Medical Marijuana Products Mfg,2119 West Colorado Avenue,Colorado Springs,CO,80904,2024-09-03,38.8436913,-104.8571043
404-00889,TRUE HEALTH COMPLEX LLC,C'est la vie Coffee,Medical Marijuana Products Mfg,4805 North Kingston Street,Denver,CO,80239,2024-09-03,39.786047,-104.859095
404-00325,TUMBLEWEED STEAMBOAT LLC,RK Enterprises ,Medical Marijuana Products Mfg,2673 Jacob Circle Unit 200,Steamboat Springs,CO,80487,2024-09-03,40.5069169,-106.8579824
404-00441,URBANE DEVELOPERS LLC,Cherry,Medical Marijuana Products Mfg,2191 South Jason Street,Denver,CO,80223,2024-09-03,39.6769132,-104.999567
